timestamp,latitude,longitude
2025-05-01 00:00:00,48.8565887,2.3522214
2025-05-01 00:10:00,48.8566605,2.3522628
2025-05-01 00:20:00,48.856495,2.3523198
2025-05-01 00:30:00,48.8566569,2.3522424
2025-05-01 00:40:00,48.8565241,2.3522816
2025-05-01 00:50:00,48.8566043,2.3523727
2025-05-01 01:00:00,48.8566374,2.3523085
2025-05-01 01:10:00,48.8565877,2.3522203
2025-05-01 01:20:00,48.8565954,2.3524539
2025-05-01 01:30:00,48.8566352,2.352406
2025-05-01 01:40:00,48.8567633,2.3522213
2025-05-01 01:50:00,48.8566433,2.3522879
2025-05-01 02:00:00,48.8567603,2.3523003
2025-05-01 02:10:00,48.8562696,2.3526432
2025-05-01 02:20:00,48.8565702,2.3523194
2025-05-01 02:30:00,48.856737,2.3521845
2025-05-01 02:40:00,48.8567795,2.3521001
2025-05-01 02:50:00,48.8567909,2.3521464
2025-05-01 03:00:00,48.8567144,2.3524524
2025-05-01 03:10:00,48.8567176,2.3522882
2025-05-01 03:20:00,48.856704,2.3521663
2025-05-01 03:30:00,48.8566761,2.3523451
2025-05-01 03:40:00,48.8566754,2.352323
2025-05-01 03:50:00,48.8566294,2.3523812
2025-05-01 04:00:00,48.8566167,2.3525483
2025-05-01 04:10:00,48.8565481,2.3526279
2025-05-01 04:20:00,48.8565042,2.3526441
2025-05-01 04:30:00,48.856568,2.3526522
2025-05-01 04:40:00,48.8566465,2.3528165
2025-05-01 04:50:00,48.8564642,2.3521886
2025-05-01 05:00:00,48.8565563,2.3522589
2025-05-01 05:10:00,48.8565053,2.3522
2025-05-01 05:20:00,48.8564299,2.3519479
2025-05-01 05:30:00,48.8564957,2.3517856
2025-05-01 05:40:00,48.8563739,2.3517391
2025-05-01 05:50:00,48.8563862,2.3518203
2025-05-01 06:00:00,48.8562887,2.3517182
2025-05-01 06:10:00,48.8562848,2.3517285
2025-05-01 06:20:00,48.8559876,2.352034
2025-05-01 06:30:00,48.8558898,2.3520751
2025-05-01 06:40:00,48.8581877,2.355462
2025-05-01 06:50:00,48.8557952,2.3521393
2025-05-01 07:00:00,48.8555151,2.3522767
2025-05-01 07:10:00,48.8555097,2.3521096
2025-05-01 07:20:00,48.8553867,2.352366
2025-05-01 07:30:00,48.8556743,2.352517
2025-05-01 07:40:00,48.8555698,2.3526297
2025-05-01 07:50:00,48.8555289,2.3527306
2025-05-01 08:00:00,48.8554646,2.3527615
2025-05-01 08:10:00,48.8555044,2.3526798
2025-05-01 08:20:00,48.8555232,2.3527487
2025-05-01 08:30:00,48.8554782,2.3528051
2025-05-01 08:40:00,48.8554511,2.3528604
2025-05-01 08:50:00,48.8554028,2.3529319
2025-05-01 09:00:00,48.8555147,2.3530294
